City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Talakan,RU,2020-09-01 03:38:47,50.32,130.37,71.33,78,65,5.93
168,Cherskiy,RU,2020-09-01 03:38:47,68.75,161.3,46.31,68,99,4.21
169,Prokopyevsk,RU,2020-09-01 03:38:47,53.91,86.72,67.28,67,35,9.98
170,Leningradskiy,RU,2020-09-01 03:38:48,69.38,178.42,36.72,95,100,3.85
171,Rantoul,US,2020-09-01 03:38:48,40.31,-88.16,72.0,100,1,4.29
172,Nizhniy Kuranakh,RU,2020-09-01 03:38:48,58.84,125.49,57.34,82,99,2.19
173,Petropavlovsk-Kamchatskiy,RU,2020-09-01 03:38:48,53.05,158.65,66.2,45,77,4.47
174,Kjollefjord,NO,2020-09-01 03:38:49,70.95,27.35,46.08,72,96,15.66
175,Sorland,NO,2020-09-01 03:38:49,67.67,12.69,51.8,87,75,10.29
176,Esmeraldas,BR,2020-09-01 03:38:49,-19.76,-44.31,69.8,64,0,9.17
177,Te Anau,NZ,2020-09-01 03:38:49,-45.42,167.72,42.6,79,30,7.07
178,Mahebourg,MU,2020-09-01 03:38:50,-20.41,57.7,69.8,83,75,11.41
179,Caravelas,BR,2020-09-01 03:38:50,-17.71,-39.25,71.28,90,89,5.5
180,Necochea,AR,2020-09-01 03:38:50,-38.55,-58.74,37.0,77,76,1.99
181,Guadalajara,MX,2020-09-01 03:34:31,20.67,-103.33,69.8,73,40,3.36
182,Kavieng,PG,2020-09-01 03:38:50,-2.57,150.8,83.08,74,95,7.7
183,New Norfolk,AU,2020-09-01 03:34:31,-42.78,147.06,55.0,63,98,5.01
184,Marsh Harbour,BS,2020-09-01 03:35:22,26.54,-77.06,84.78,72,1,9.64
185,Adrar,MR,2020-09-01 03:38:51,20.5,-10.07,87.67,21,6,3.4
186,Port Blair,IN,2020-09-01 03:38:51,11.67,92.75,85.95,68,100,7.02
187,Hobyo,SO,2020-09-01 03:38:52,5.35,48.53,79.18,76,4,23.51
188,Airai,TL,2020-09-01 03:38:52,-8.93,125.41,77.76,47,8,7.18
189,Oranjemund,NA,2020-09-01 03:38:52,-28.55,16.43,51.31,87,2,10.89
190,Uman,UA,2020-09-01 03:38:52,48.75,30.22,66.88,39,0,1.77
191,Dingli,MT,2020-09-01 03:38:53,35.86,14.38,78.01,88,20,10.29
192,Ucluelet,CA,2020-09-01 03:37:33,48.93,-125.55,57.0,88,8,0.94
193,Staraya Russa,RU,2020-09-01 03:38:53,57.99,31.36,50.05,98,62,5.01
194,Lucapa,AO,2020-09-01 03:38:53,-8.42,20.74,70.34,75,63,0.47
195,Bela Vista,BR,2020-09-01 03:38:54,-22.11,-56.52,67.89,74,0,4.07
196,Ahipara,NZ,2020-09-01 03:38:54,-35.17,173.17,60.93,76,3,12.1
197,Pisco,PE,2020-09-01 03:38:54,-13.7,-76.22,61.0,82,1,2.24
198,Palu,ID,2020-09-01 03:35:16,-0.89,119.87,85.28,72,95,1.95
199,Marawi,PH,2020-09-01 03:38:55,8.0,124.29,84.0,80,100,7.0
200,Komsomolskiy,UZ,2020-09-01 03:38:55,40.43,71.72,75.2,36,1,6.93
201,Manitowoc,US,2020-09-01 03:38:55,44.07,-87.8,64.0,93,75,8.05
